date,open,high,low,close,volume,vwap,ticker
2021-05-17,415.39,416.39,413.36,415.52,65231637,415.0019,SPY
2021-05-18,415.8,416.06,411.77,411.94,59988588,414.3152,SPY
2021-05-19,406.92,411.05,405.33,410.86,106399284,408.5827,SPY
2021-05-20,411.8,416.625,411.67,415.28,78120117,414.3526,SPY
2021-05-21,416.87,418.2,414.45,414.94,76761231,415.943,SPY
2021-05-24,417.34,420.32,417.08,419.17,51609310,418.8735,SPY
2021-05-25,420.33,420.71,417.62,418.24,57639401,418.8644,SPY
2021-05-26,418.87,419.61,417.76,419.07,43267919,418.8257,SPY
2021-05-27,420.17,420.72,419.12,419.29,56780925,419.7647,SPY
2021-05-28,420.97,421.25,419.79,420.04,58178233,420.3828,SPY
2021-06-01,422.57,422.72,419.2,419.67,54055887,420.2467,SPY
2021-06-02,420.37,421.23,419.29,420.33,49195766,420.1838,SPY
2021-06-03,417.85,419.99,416.28,418.77,58329399,418.7593,SPY
2021-06-04,420.75,422.92,420.68,422.6,55807692,421.672,SPY
2021-06-07,422.59,422.78,421.19,422.19,51704728,421.9857,SPY
2021-06-08,423.11,423.21,420.32,422.28,46964278,422.1817,SPY
2021-06-09,423.18,423.26,421.41,421.65,48444999,422.3273,SPY
2021-06-10,422.96,424.63,421.55,423.61,51049901,423.3297,SPY
2021-06-11,424.2,424.43,422.82,424.31,43234019,423.7817,SPY
2021-06-14,424.43,425.37,423.1,425.26,42210255,424.0982,SPY
2021-06-15,425.42,425.46,423.54,424.48,51671109,424.5186,SPY
2021-06-16,424.63,424.87,419.92,422.11,79931518,422.489,SPY
2021-06-17,421.67,423.02,419.32,421.97,91117086,421.8919,SPY
2021-06-18,417.09,417.8281,414.7,414.92,118528545,416.803,SPY
2021-06-21,416.8,421.06,415.93,420.86,72920873,419.2599,SPY
2021-06-22,420.85,424.0,420.08,423.11,56977011,422.2165,SPY
2021-06-23,423.19,424.05,422.51,422.6,49240348,423.175,SPY
2021-06-24,424.89,425.55,424.62,425.1,45246597,424.8872,SPY
2021-06-25,425.9,427.0943,425.55,426.61,58240132,426.2099,SPY
2021-06-28,427.17,427.65,425.89,427.47,53354729,426.8197,SPY
2021-06-29,427.88,428.56,427.13,427.7,35873804,427.8444,SPY
2021-06-30,427.21,428.78,427.18,428.06,64517207,428.0337,SPY
2021-07-01,428.87,430.6,428.8,430.43,53657782,429.7116,SPY
2021-07-02,431.67,434.1,431.33,433.72,57852713,432.8409,SPY
2021-07-06,433.78,434.01,430.01,432.93,68729063,432.1618,SPY
2021-07-07,433.66,434.76,431.51,434.46,63714583,433.7315,SPY
2021-07-08,428.78,431.73,427.52,430.92,97804861,430.1577,SPY
2021-07-09,432.53,435.84,432.31,435.52,76378977,434.4412,SPY
2021-07-12,435.43,437.35,434.97,437.08,52449266,436.5282,SPY
2021-07-13,436.24,437.84,435.31,435.59,52790461,436.3838,SPY
2021-07-14,437.4,437.92,434.91,436.24,64286151,436.3153,SPY
2021-07-15,434.81,435.53,432.72,434.75,55212984,434.4532,SPY
2021-07-16,436.01,436.06,430.92,431.34,72752672,433.2107,SPY
2021-07-19,426.19,431.4089,421.97,424.97,147932133,424.4345,SPY
2021-07-20,425.68,432.42,424.83,431.06,99784841,429.6423,SPY
2021-07-21,432.34,434.7,431.0111,434.55,64904513,433.4252,SPY
2021-07-22,434.74,435.72,433.69,435.46,47963026,434.8862,SPY
2021-07-23,437.52,440.3,436.79,439.94,63950573,438.521,SPY
2021-07-26,439.31,441.03,439.26,441.02,43875088,440.195,SPY
2021-07-27,439.91,439.94,435.99,439.01,67539148,438.2311,SPY
2021-07-28,439.68,440.3,437.31,438.83,50894998,438.9868,SPY
2021-07-29,439.815,441.8,439.81,440.65,47397842,440.8157,SPY
2021-07-30,437.91,440.06,437.77,438.51,68951202,438.8069,SPY
2021-08-02,440.34,440.93,437.21,437.59,58399297,438.9469,SPY
2021-08-03,438.44,441.28,436.1,441.15,57738850,439.1748,SPY
2021-08-04,439.78,441.1243,438.73,438.98,46706212,439.705,SPY
2021-08-05,440.22,441.85,439.88,441.76,38964559,440.6863,SPY
2021-08-06,442.1,442.94,441.8,442.49,45812008,442.3052,SPY
2021-08-09,442.46,442.795,441.31,442.13,41222585,442.2061,SPY
2021-08-10,442.61,443.44,441.88,442.68,42975851,442.5943,SPY
2021-08-11,443.82,443.882,442.62,443.78,43749190,443.3916,SPY
2021-08-12,443.62,445.2572,442.66,445.11,38942418,444.1853,SPY
2021-08-13,445.59,445.94,445.07,445.92,39441451,445.5441,SPY
2021-08-16,444.53,447.11,442.87,446.97,73930864,445.2783,SPY
2021-08-17,444.24,444.96,440.85,444.04,92651433,443.5632,SPY
2021-08-18,442.96,444.625,438.92,439.18,89351931,441.7939,SPY
2021-08-19,436.27,441.14,436.12,439.86,92689386,439.099,SPY
2021-08-20,440.23,443.71,439.71,443.36,71819112,442.2624,SPY
2021-08-23,445.16,448.23,443.4355,447.26,54968538,446.7581,SPY
2021-08-24,447.97,448.54,447.42,447.97,38721714,447.9647,SPY
2021-08-25,448.17,449.457,447.77,448.91,40529711,448.7852,SPY
2021-08-26,448.61,448.86,446.16,446.26,57710772,447.238,SPY
2021-08-27,447.12,450.65,447.06,450.25,77056613,449.4451,SPY
2021-08-30,450.97,453.07,450.71,452.23,48357355,452.0586,SPY
2021-08-31,452.13,452.49,450.92,451.56,58987985,451.7938,SPY
2021-09-01,452.56,453.11,451.545,451.8,48580378,452.2969,SPY
2021-09-02,453.32,454.05,451.91,453.19,40912367,452.9232,SPY
2021-09-03,451.98,453.63,451.55,453.08,47231364,452.9032,SPY
2021-09-07,452.71,452.81,450.7423,451.46,51921318,451.8342,SPY
2021-09-08,450.89,451.67,448.86,450.91,56147907,450.5382,SPY
2021-09-09,450.7,452.57,448.72,448.98,57935207,450.2357,SPY
2021-09-10,451.04,451.49,445.31,445.44,89465874,447.6791,SPY
2021-09-13,448.64,448.92,444.11,446.58,83969944,446.0005,SPY
2021-09-14,448.12,448.34,443.22,444.17,79344873,444.9748,SPY
2021-09-15,444.62,448.41,443.44,447.88,78937824,446.2478,SPY
2021-09-16,447.32,448.36,444.02,447.17,77209185,446.5427,SPY
2021-09-17,444.92,445.37,441.02,441.4,118047787,442.6771,SPY
2021-09-20,434.88,436.56,428.86,434.04,165478034,433.6052,SPY
2021-09-21,436.53,437.91,433.07,433.63,92357112,435.1409,SPY
2021-09-22,436.05,440.03,433.747,437.86,101480143,437.8969,SPY
2021-09-23,439.85,444.89,439.6,443.18,76365981,442.9113,SPY
2021-09-24,441.44,444.67,441.21,443.91,61994837,443.3184,SPY
2021-09-27,442.81,444.05,441.9,442.64,60867583,443.0258,SPY
2021-09-28,439.69,440.04,432.94,433.72,130350306,435.6609,SPY
2021-09-29,435.19,437.04,433.85,434.45,82058963,435.3033,SPY
2021-09-30,436.02,436.77,428.78,429.14,140598198,432.0754,SPY
2021-10-01,430.98,436.0329,427.23,434.24,129107301,431.7327,SPY
2021-10-04,433.0,433.96,426.36,428.64,128346956,429.0805,SPY
2021-10-05,430.24,435.49,429.39,433.1,90682519,433.1342,SPY
2021-10-06,429.27,435.1199,427.54,434.9,112977345,431.7015,SPY
2021-10-07,438.39,441.68,438.2,438.66,72335949,439.676,SPY
2021-10-08,439.48,439.89,437.19,437.86,74665304,438.3975,SPY
2021-10-11,437.16,440.26,434.62,434.69,65233283,437.1387,SPY
2021-10-12,435.67,436.1,432.78,433.62,71170063,434.3746,SPY
2021-10-13,434.71,436.05,431.54,435.18,72761979,434.0766,SPY
2021-10-14,439.08,442.66,438.58,442.5,67509325,441.0021,SPY
2021-10-15,444.75,446.26,444.09,445.87,66145960,445.1634,SPY
2021-10-18,443.97,447.55,443.27,447.19,62213228,446.2843,SPY
2021-10-19,448.92,450.71,448.27,450.64,46957827,449.8321,SPY
2021-10-20,451.13,452.732,451.01,452.41,49571569,451.912,SPY
2021-10-21,451.77,453.829,451.31,453.59,41055438,452.4889,SPY
2021-10-22,453.13,454.67,451.05,453.12,58745088,453.0362,SPY
2021-10-25,454.28,455.9,452.39,455.55,45173607,454.6282,SPY
2021-10-26,457.2,458.49,455.56,455.96,55858916,456.8677,SPY
2021-10-27,456.45,457.16,453.86,453.94,72215997,455.217,SPY
2021-10-28,455.46,458.4,455.45,458.32,51412959,456.8443,SPY
2021-10-29,455.87,459.56,455.56,459.25,70147024,458.3068,SPY
2021-11-01,460.3,460.7021,458.2,460.04,48433642,459.4617,SPY
2021-11-02,460.22,462.23,460.08,461.9,48504417,461.3643,SPY
2021-11-03,461.3,465.15,460.83,464.72,52507426,463.0092,SPY
2021-11-04,465.36,467.0,464.99,466.91,52842687,465.9631,SPY
2021-11-05,469.28,470.65,466.92,468.53,66100363,468.8804,SPY
2021-11-08,469.7,470.23,468.2031,468.93,50192592,468.9905,SPY
2021-11-09,469.32,469.57,465.88,467.38,51132147,467.3029,SPY
2021-11-10,465.58,467.38,462.04,463.62,69429644,464.8782,SPY
2021-11-11,465.21,465.29,463.75,463.77,34848494,464.3668,SPY
2021-11-12,465.12,467.86,464.11,467.27,53466654,466.3091,SPY
2021-11-15,468.64,468.81,466.23,467.43,46967500,467.3737,SPY
2021-11-16,467.15,470.485,467.07,469.28,48857502,469.0457,SPY
2021-11-17,469.0,469.19,467.48,468.14,47158289,468.37,SPY
2021-11-18,469.24,470.01,466.34,469.73,50625607,468.7785,SPY
2021-11-19,469.61,470.94,468.5,468.89,54378573,469.4411,SPY
2021-11-22,470.89,473.54,467.35,467.57,72491954,470.435,SPY
2021-11-23,467.22,469.095,464.45,468.19,73206538,466.9913,SPY
2021-11-24,466.06,469.57,465.19,469.44,61508813,468.0542,SPY
2021-11-26,462.34,463.9,457.77,458.97,112669635,461.2786,SPY
2021-11-29,464.07,466.56,461.73,464.6,86240818,464.0689,SPY
2021-11-30,462.0,464.03,455.3,455.56,148559598,458.8431,SPY
2021-12-01,461.64,464.67,450.29,450.5,132414435,457.4152,SPY
2021-12-02,450.73,459.07,450.31,457.4,127637758,455.7043,SPY
2021-12-03,459.17,460.3,448.92,453.42,137331647,453.0439,SPY
2021-12-06,456.13,460.79,453.56,458.79,97477532,457.5764,SPY
2021-12-07,464.41,468.88,458.6546,468.28,95467688,466.813,SPY
2021-12-08,468.7,470.0,466.83,469.52,71609277,468.5873,SPY
2021-12-09,468.15,469.6291,466.14,466.35,61272568,467.9605,SPY
2021-12-10,469.23,470.9,466.51,470.74,77128507,468.9296,SPY
2021-12-13,470.19,470.56,466.27,466.57,87724680,468.0599,SPY
2021-12-14,463.09,465.74,460.25,463.36,97159128,463.1988,SPY
2021-12-15,463.42,470.86,460.74,470.6,116899251,465.8393,SPY
2021-12-16,472.57,472.87,464.8,466.45,116494626,468.7097,SPY
2021-12-17,461.55,464.74,458.06,459.87,135583150,461.5026,SPY
2021-12-20,454.48,455.4,451.14,454.98,106788817,454.1844,SPY
2021-12-21,458.61,463.21,456.31,463.06,69806260,460.2953,SPY
2021-12-22,462.79,467.81,462.58,467.69,58790223,465.801,SPY
2021-12-23,468.75,472.19,468.64,470.6,56139745,470.6108,SPY
2021-12-27,472.06,477.31,472.01,477.26,56808619,475.279,SPY
2021-12-28,477.72,478.81,476.06,476.87,46974585,477.2276,SPY
2021-12-29,476.98,478.56,475.92,477.48,54091464,477.2659,SPY
2021-12-30,477.93,479.0,475.67,476.16,55329041,477.4587,SPY
2021-12-31,475.64,476.86,474.67,474.96,64917431,475.6196,SPY
2022-01-03,476.3,477.85,473.85,477.71,72668233,476.527,SPY
2022-01-04,479.22,479.98,475.58,477.55,71070678,477.8703,SPY
2022-01-05,477.16,477.98,468.2801,468.38,104494940,473.2328,SPY
2022-01-06,467.89,470.82,465.43,467.94,86498500,468.4813,SPY
2022-01-07,467.95,469.2,464.65,466.09,85111593,466.939,SPY
2022-01-10,462.7,465.74,456.5973,465.51,119361988,461.5904,SPY
2022-01-11,465.23,469.85,462.05,469.75,74189562,466.4853,SPY
2022-01-12,471.59,473.2,468.94,471.02,67602444,470.9955,SPY
2022-01-13,472.19,472.88,463.44,464.53,91137601,467.9368,SPY
2022-01-14,461.19,465.09,459.9,464.72,95890948,462.9488,SPY
2022-01-18,459.74,459.96,455.31,456.49,109851226,457.9682,SPY
2022-01-19,458.13,459.6124,451.46,451.75,108347069,455.5262,SPY
2022-01-20,453.75,458.74,444.5,446.75,122001796,452.3944,SPY
2022-01-21,445.56,448.06,437.95,437.98,202025141,442.5437,SPY
2022-01-24,432.03,440.38,420.76,439.84,252248938,430.7247,SPY
2022-01-25,433.06,439.72,427.15,434.47,167685150,433.6947,SPY
2022-01-26,440.72,444.04,428.86,433.38,186240418,437.1371,SPY
2022-01-27,438.26,441.59,429.45,431.24,149846107,434.5969,SPY
2022-01-28,432.68,442.0,427.82,441.95,164188170,435.3435,SPY
2022-01-31,441.24,450.28,439.81,449.91,152106025,445.9021,SPY
2022-02-01,450.68,453.63,446.9384,452.95,123155381,450.7136,SPY
2022-02-02,455.5,458.12,453.05,457.35,116776953,455.6624,SPY
2022-02-03,450.95,452.97,445.71,446.6,118024442,449.827,SPY
2022-02-04,446.35,452.78,443.83,448.7,118436652,448.3226,SPY
2022-02-07,449.51,450.99,445.85,447.26,84472859,448.6198,SPY
2022-02-08,446.73,451.92,445.22,450.94,80981286,449.0816,SPY
2022-02-09,455.22,457.88,455.005,457.54,92495929,455.9303,SPY
2022-02-10,451.34,457.71,447.2,449.32,140103712,452.9121,SPY
2022-02-11,449.41,451.605,438.94,440.46,153214597,444.1699,SPY
2022-02-14,439.92,441.6,435.34,439.02,122934262,438.9049,SPY
2022-02-15,443.73,446.28,443.18,446.1,88641503,444.6794,SPY
2022-02-16,443.93,448.055,441.94,446.6,84815085,444.9697,SPY
2022-02-17,443.22,446.5652,436.42,437.06,102259108,439.9789,SPY
2022-02-18,437.33,438.66,431.82,434.23,132502896,435.2278,SPY
2022-02-22,431.89,435.5,425.86,429.57,124379870,430.707,SPY
2022-02-23,432.66,433.26,421.35,421.95,132374005,425.9146,SPY
2022-02-24,411.02,428.76,410.64,428.3,213923446,419.7499,SPY
2022-02-25,429.61,437.84,427.86,437.75,121785659,434.3466,SPY
2022-02-28,432.03,438.2,430.7,436.63,145594529,434.5719,SPY
2022-03-01,435.04,437.17,427.11,429.98,137720158,431.6669,SPY
2022-03-02,432.37,439.72,431.57,437.89,117711825,436.2299,SPY
2022-03-03,440.47,441.11,433.8,435.71,105501715,436.9085,SPY
2022-03-04,431.75,433.37,427.88,432.17,114083256,430.9209,SPY
2022-03-07,431.55,432.3018,419.36,419.43,137811760,423.9601,SPY
2022-03-08,419.62,427.21,415.12,416.25,164739744,419.763,SPY
2022-03-09,425.14,429.51,422.82,427.41,116832265,426.181,SPY
2022-03-10,422.52,426.43,420.44,425.48,93972655,423.8766,SPY
2022-03-11,428.12,428.77,419.53,420.07,95360277,423.9476,SPY
2022-03-14,420.89,424.55,415.79,417.0,95729188,419.1776,SPY
2022-03-15,419.77,426.84,418.42,426.17,106134117,422.761,SPY
2022-03-16,429.89,435.68,424.8,435.62,144704805,431.3891,SPY
2022-03-17,433.59,441.07,433.19,441.07,102651870,437.6986,SPY
2022-03-18,438.0,444.86,437.22,444.52,106332044,441.5188,SPY
2022-03-21,444.34,446.46,440.68,444.39,88249756,443.8006,SPY
2022-03-22,445.86,450.58,445.86,449.59,74280394,448.5657,SPY
2022-03-23,446.91,448.49,443.71,443.8,79367033,446.0537,SPY
2022-03-24,445.94,450.5,444.76,450.49,64736892,447.7172,SPY
2022-03-25,451.16,452.98,448.43,452.69,76738724,451.0456,SPY
2022-03-28,452.06,455.91,450.06,455.91,68289867,453.2845,SPY
2022-03-29,460.02,462.07,457.18,461.55,86556542,459.637,SPY
2022-03-30,460.34,461.195,456.465,458.7,79155242,459.1689,SPY
2022-03-31,457.89,458.76,451.16,451.64,121083948,455.3757,SPY
2022-04-01,453.31,453.46,449.14,452.92,88973773,451.8507,SPY
2022-04-04,453.13,456.91,452.26,456.8,59504500,455.311,SPY
2022-04-05,455.22,457.83,449.82,451.03,74213133,453.4101,SPY
2022-04-06,446.89,448.93,443.47,446.52,106844970,446.3477,SPY
2022-04-07,445.59,450.69,443.53,448.77,78097214,447.1117,SPY
2022-04-08,447.97,450.63,445.94,447.57,79205711,448.2497,SPY
2022-04-11,444.11,445.0,439.39,439.92,89770538,442.2088,SPY
2022-04-12,443.08,445.75,436.6501,438.29,84363635,440.8142,SPY
2022-04-13,438.03,444.11,437.84,443.31,73950154,441.2623,SPY
2022-04-14,443.55,444.7301,437.68,437.79,97869451,440.2705,SPY
2022-04-18,436.81,439.75,435.61,437.97,64950498,437.8417,SPY
2022-04-19,437.86,445.8,437.68,445.04,77784013,443.0733,SPY
2022-04-20,446.92,447.57,443.48,444.71,65210049,445.6116,SPY
2022-04-21,448.54,450.01,437.1,438.06,85417327,442.7637,SPY
2022-04-22,436.91,438.0825,425.44,426.04,132371772,429.8197,SPY
2022-04-25,423.67,428.69,418.84,428.51,119636648,423.9628,SPY
2022-04-26,425.83,426.04,416.07,416.1,103996312,420.0383,SPY
2022-04-27,417.24,422.92,415.01,417.27,121980990,418.8355,SPY
2022-04-28,422.29,429.64,417.6,427.81,105375338,424.0568,SPY
2022-04-29,423.59,425.87,411.21,412.0,145311088,416.8611,SPY
